"","x"
"1",718.192048
"2",203.594398
"3",57.574678
"4",13.969102
"5",1.503138
"6",0.0635319999999986
"7",-0.302484
"8",-0.332626000000002
"9",-0.360696000000001
"10",-0.392154
"11",-0.315784000000001
"12",-0.363118000000001
"13",-0.379288000000001
"14",-0.371476
"15",-0.417606
"16",-0.391118000000001
"17",-0.337931999999999
"18",-0.729413999999999
"19",-0.509628
"20",-0.451486
"21",-0.656054000000002
"22",-2.04792
"23",-0.842239999999999
"24",-0.526764000000001
"25",-0.461608
"26",-0.463512
"27",-0.481208000000002
"28",-0.500794
"29",-0.5187
"30",-0.534184
"31",-0.547428
"32",-0.558670000000001
"33",-0.568176
"34",-0.576156000000001
"35",0.332206
"36",-0.320558000000001
"37",-0.445480000000001
"38",-0.0607180000000013
"39",-0.0701959999999999
"40",-1.245006
"41",-0.305073999999999
"42",-0.459899999999999
"43",-0.557676
"44",0.00915599999999905
"45",-0.712614
"46",-0.726656
"47",-0.29113
"48",-0.515186
"49",-0.595560000000001
"50",-0.440103999999999
"51",-0.422366
"52",-0.566342
"53",-0.463105999999998
"54",-0.425194
"55",-0.480942
"56",-0.395486000000001
"57",-0.376039999999999
"58",-0.466256000000002
"59",-0.399812000000001
"60",-0.345268
"61",-0.419006000000001
"62",-0.357392000000001
"63",-0.554666000000001
"64",-2.144394
"65",-0.850738000000003
"66",-0.513407999999999
"67",-0.44499
"68",-0.448434
"69",-0.468720000000001
"70",-0.490784
"71",-0.51093
"72",-0.528374
"73",-0.543269999999999
"74",-0.555898000000001
"75",-0.566580000000001
"76",-0.575638000000001
"77",0.469294000000001
"78",-0.289772
"79",-0.40642
"80",-0.0744100000000006
"81",-0.372819999999998
"82",-1.487472
"83",-0.37849
"84",-0.546503999999999
"85",-0.410704000000001
"86",-0.0262640000000014
"87",-0.466900000000001
"88",-0.655703999999999
"89",-0.240478
"90",-0.575427999999999
"91",-0.693952000000002
"92",-0.259126
"93",-0.483014
"94",-0.621922000000001
"95",-0.442021999999998
"96",-0.399336000000001
"97",-0.521443999999999
"98",-0.43918
"99",-0.407022
"100",-0.490168000000001
"101",-0.414246
"102",-0.357476000000002
"103",-0.423863999999999
"104",-0.360639999999999
"105",-0.545874
"106",-2.130422
"107",-0.855819999999999
"108",-0.522983999999999
"109",-0.455028000000001
"110",-0.457898
"111",-0.477400000000001
"112",-0.49882
"113",-0.51828
"114",-0.535178
"115",-0.549611999999999
"116",-0.56182
"117",-0.572152
"118",-0.580901999999999
"119",0.624147999999999
"120",-0.269807999999999
"121",-0.404852
"122",-0.0354760000000001
"123",-0.418137999999999
"124",-1.534834
"125",-0.417424
"126",-0.583015999999998
"127",-0.648297999999998
"128",-0.113904
"129",-0.296183999999999
"130",-0.612233999999999
"131",-0.0237300000000004
"132",-0.483392000000001
"133",-0.868098
"134",-0.157976
"135",-0.477022
"136",-0.637364
"137",-0.399588
"138",-0.430821999999999
"139",-0.540162000000001
"140",-0.505287999999999
"141",-0.380058000000002
"142",-0.486486
"143",-0.420336
"144",-0.363775999999998
"145",-0.425264000000002
"146",-0.358721999999999
"147",-0.516235999999999
"148",-2.170826
"149",-0.871654
"150",-0.531482
"151",-0.461062
"152",-0.462867999999999
"153",-0.481809999999998
"154",-0.502810000000002
"155",-0.521934000000002
"156",-0.538538000000001
"157",-0.552706000000001
"158",-0.564745999999999
"159",-0.574924
"160",-0.583506
"161",0.745822000000001
"162",-0.258244
"163",-0.384649999999998
"164",0.0348040000000002
"165",-0.411319999999999
"166",-1.592486
"167",-0.475944000000002
"168",-0.588602000000001
"169",-0.646309999999999
"170",-0.103809999999999
"171",-0.507976000000001
"172",-0.686182
"173",0.174524
"174",-0.443407999999999
"175",-0.620871999999998
"176",-0.0183540000000013
"177",-0.634885999999999
"178",-0.710822000000001
"179",-0.364881999999999
"180",-0.437667999999999
"181",-0.547931999999999
"182",-0.503929999999999
"183",-0.360472
"184",-0.490140000000001
"185",-0.414526
"186",-0.351624
"187",-0.426398
"188",-0.326773999999999
"189",-0.511434000000001
"190",-2.236248
"191",-0.891702000000001
"192",-0.538649999999999
"193",-0.464408000000001
"194",-0.465108
"195",-0.483643999999998
"196",-0.504419999999999
"197",-0.523459999999999
"198",-0.539966
"199",-0.554077999999999
"200",-0.566048
"201",-0.576212
"202",-0.584696
"203",0.825537999999999
"204",-0.209971999999999
"205",-0.344386
"206",0.0762299999999985
"207",-0.237048000000001
"208",-1.790754
"209",-0.495557999999999
"210",-0.587089999999998
"211",-0.642473999999998
"212",-0.0749140000000015
"213",-0.515773999999999
"214",-0.679797999999999
"215",-0.0135239999999984
"216",-0.515522000000002
"217",-0.446250000000001
"218",0.0539140000000018
"219",-0.394519999999998
"220",-0.641872
"221",-0.506072
"222",-0.457898
"223",-0.560825999999999
"224",-0.488137999999999
"225",-0.351260000000002
"226",-0.485254
"227",-0.405244000000002
"228",-0.305312
"229",-0.4095
"230",-0.298325999999999
"231",-0.485548000000001
"232",-2.345574
"233",-0.92302
"234",-0.54789
"235",-0.467502
"236",-0.466396
"237",-0.484456
"238",-0.505106000000002
"239",-0.524118
"240",-0.540638000000001
"241",-0.554749999999999
"242",-0.566692000000001
"243",-0.576786000000001
"244",-0.585367999999999
"245",0.937719999999999
"246",-0.160299999999999
"247",-0.320025999999999
"248",0.1008
"249",-0.220779999999999
"250",-1.852998
"251",-0.497294
"252",-0.578676000000001
"253",-0.637266
"254",-0.0442819999999988
"255",-0.524020000000001
"256",-0.669802000000001
"257",0.0117460000000016
"258",-0.486472
"259",-0.683102
"260",0.00253399999999904
"261",-0.212828
"262",-0.596386
"263",-0.169021999999999
"264",-0.338632
"265",-0.736862
"266",-0.511951999999998
"267",-0.35
"268",-0.501788000000001
"269",-0.370384000000002
"270",-0.27951
"271",-0.382186000000001
"272",-0.271767999999999
"273",-0.469966000000001
"274",-2.469866
"275",-0.958048000000001
"276",-0.557717999999999
"277",-0.470301999999999
"278",-0.467306000000001
"279",-0.484861999999998
"280",-0.5054
"281",-0.52437
"282",-0.540960000000001
"283",-0.555072000000001
"284",-0.56707
"285",-0.577261999999999
"286",-0.569226
"287",1.026382
"288",-0.117193999999999
"289",-0.297556
"290",0.12656
"291",-0.246218
"292",-1.876854
"293",-0.498834
"294",-0.571886
"295",-0.632380000000001
"296",-0.0196000000000002
"297",-0.52416
"298",-0.661738
"299",0.0403339999999999
"300",-0.476293999999999
"301",-0.686672
"302",0.00352800000000042
"303",-0.406769999999999
"304",-0.658966
"305",0.113287999999999
"306",-0.263774
"307",-0.516418
"308",-0.395878
"309",-0.497014
"310",-0.526960000000001
"311",-0.352841999999998
"312",-0.256115999999999
"313",-0.358539999999999
"314",-0.248178
"315",-0.443590000000001
"316",-2.613072
"317",-0.998395999999999
"318",-0.569141999999999
"319",-0.473564
"320",-0.468328000000001
"321",-0.485254
"322",-0.505609999999999
"323",-0.524622000000001
"324",-0.541198
"325",-0.555366000000001
"326",-0.567420000000002
"327",-0.577569999999999
"328",-0.529256
"329",1.088906
"330",-0.0766779999999978
"331",-0.275884
"332",0.136528000000001
"333",-0.142646
"334",-1.982918
"335",-0.505694000000001
"336",-0.567266
"337",-0.623994000000001
"338",0.00751799999999858
"339",-0.500654
"340",-0.669606000000001
"341",0.0678440000000002
"342",-0.467698
"343",-0.692006
"344",0.0616280000000002
"345",-0.40411
"346",-0.638834
"347",-0.100071999999998
"348",-0.311065999999998
"349",-0.274008000000001
"350",-0.285375999999999
"351",-0.287097999999998
"352",-0.410928
"353",-0.516348
"354",-0.285711999999999
"355",-0.346107999999999
"356",-0.233702
"357",-0.430205999999999
"358",-2.736986
"359",-1.033004
"360",-0.578605999999999
"361",-0.476013999999998
"362",-0.468873999999999
"363",-0.485338
"364",-0.505693999999999
"365",-0.524705999999998
"366",-0.541324
"367",-0.555520000000002
"368",-0.567601999999999
"369",-0.559636
"370",-0.502502
"371",1.145228
"372",-0.0381079999999981
"373",-0.258356
"374",0.147055999999999
"375",0.108178
"376",-2.190272
"377",-0.531454
"378",-0.564423999999999
"379",-0.613675999999999
"380",0.0336980000000014
"381",-0.48713
"382",-0.668654000000001
"383",0.0801780000000013
"384",-0.408337999999999
"385",-0.694512
"386",0.122164
"387",-0.340634000000001
"388",-0.627031999999999
"389",-0.15904
"390",-0.286692
"391",-0.475677999999999
"392",-0.347843999999999
"393",-0.0759219999999994
"394",-0.347116000000001
"395",-0.252616
"396",-0.179703999999999
"397",-0.51233
"398",-0.252097999999998
"399",-0.429688000000001
"400",-2.857022
"401",-1.066506
"402",-0.587775999999999
"403",-0.478435999999998
"404",-0.469448
"405",-0.48545
"406",-0.505722
"407",-0.524789999999998
"408",-0.541464
"409",-0.555674
"410",-0.567783999999999
"411",-0.522522000000001
"412",-0.489425999999999
"413",1.190896
"414",-0.00704199999999849
"415",-0.240968000000001
"416",0.159613999999999
"417",0.197218
"418",-2.241316
"419",-0.564396000000001
"420",-0.560083999999999
"421",-0.604519999999998
"422",0.0544040000000004
"423",-0.434616000000001
"424",-0.660912
"425",0.110852000000001
"426",-0.3752
"427",-0.657622
"428",0.111846000000001
"429",-0.334320000000002
"430",-0.583128000000001
"431",-0.195734
"432",-0.267651999999999
"433",-0.452368
"434",-0.326536
"435",-0.288161999999998
"436",-0.403661999999999
"437",-0.0548660000000001
"438",-0.124922
"439",-0.255584
"440",-0.171024
"441",-0.672028000000001
"442",-2.942226
"443",-1.090306
"444",-0.594355999999999
"445",-0.480186
"446",-0.469923999999998
"447",-0.48566
"448",-0.505848
"449",-0.524887999999999
"450",-0.541631999999999
"451",-0.555912
"452",-0.568078
"453",-0.486570000000001
"454",-0.410452000000002
"455",1.175972
"456",0.0241360000000004
"457",-0.226520000000001
"458",0.168923999999998
"459",0.242451999999999
"460",-2.299598
"461",-0.572767999999999
"462",-0.528626000000002
"463",-0.576618
"464",0.076958
"465",-0.396927999999999
"466",-0.638218
"467",0.146047999999999
"468",-0.348683999999999
"469",-0.649530000000001
"470",0.100016000000001
"471",-0.32683
"472",-0.569856
"473",-0.197428
"474",-0.251132
"475",-0.432852000000001
"476",-0.307103999999999
"477",-0.271431999999999
"478",-0.385028000000001
"479",-0.266783999999999
"480",-0.198421999999999
"481",-0.0854140000000003
"482",-0.191113999999999
"483",-0.438648000000002
"484",-2.872758
"485",-1.273286
"486",-0.645778
"487",-0.494704
"488",-0.474011999999999
"489",-0.486864
"490",-0.506282
"491",-0.525167999999999
"492",-0.541898000000001
"493",-0.556192000000002
"494",-0.554246
"495",-0.413154
"496",-0.370328000000002
"497",1.15563
"498",0.0475300000000009
"499",-0.211022
"500",0.179144000000001
"501",0.265887999999999
"502",-2.251578
"503",-0.624974000000002
"504",-0.492170000000001
"505",-0.563682000000001
"506",0.119588
"507",-0.364658
"508",-0.640388
"509",0.175952
"510",-0.346696000000001
"511",-0.633541999999999
"512",0.100169999999999
"513",-0.313473999999999
"514",-0.562842000000001
"515",-0.206233999999999
"516",-0.234318
"517",-0.41384
"518",-0.290023999999999
"519",-0.279678000000001
"520",-0.353248000000002
"521",-0.287686
"522",-0.253344000000001
"523",-0.300985999999999
"524",-0.248611999999999
"525",-0.0262220000000021
